,itr,T,N1,N2,beta,r,log_rank_greater,hc_greater,fisher_greater,min_p_greater,berk_jones_greater,wilcoxon_greater,log_rank_less,hc_less,fisher_less,min_p_less,berk_jones_less,wilcoxon_less
36,1,2000,1000,1000,0.6,0.9999999999999999,1.6727844498045887,2.9870399334936946,4126.992005322825,8.727753238699272,6.202141339823261,4.381879368965132,0.20791463984650763,0.48209028278257265,3940.700760879892,6.917414015212566,5.483062170154699,0.012580646468760873
37,1,2000,1000,1000,0.6,1.0999999999999999,1.806311032140735,3.3484942639137776,4067.1181419706445,8.487383226713908,5.57278258551106,5.131376253475126,0.17943648250560043,44.713897379548996,4027.5821879968853,16.299262651784556,8.69545127217897,0.00592594718028109
38,1,2000,1000,1000,0.6,1.2,4.455897473853266,13.160168091156649,4096.354419885657,12.68851814280739,8.301051351890603,15.824192204059573,0.011677816673996507,1.7172702446093104,4028.115944405495,6.937252277024181,2.929673898422599,1.3416544465032935e-07
39,1,2000,1000,1000,0.7,0.0,0.18855005791670754,2.5147846783405146,4042.4736942934655,9.17467715367089,4.786012311858784,0.009674036390793759,1.7611859188202863,3.6486210735128908,4200.034824813209,8.254135716369339,7.67714158725317,4.643142761618196
40,1,2000,1000,1000,0.7,0.09999999999999999,0.6152550519902451,1.3530263015822515,3950.8718510257486,7.071680095451573,3.049359107125748,0.3905106999601231,0.7776229125207886,0.5110087688869758,3887.015108307415,7.825899310490445,3.2954492788742167,1.1292092062244257
41,1,2000,1000,1000,0.7,0.19999999999999998,3.2697216229063435,5.161869537238622,3887.1627056086795,10.954640521155453,4.143192364155681,11.998314651389183,0.038758508999398,2.39258314284123,4044.9072703064376,8.808433094356204,4.4538418084382405,6.154595163475361e-06
42,1,2000,1000,1000,0.7,0.3,7.737394827975504,2.630108023310373,4123.090266423499,8.208808762320485,5.134215185714007,40.65315416394521,0.0004363016547821153,0.5375308984351878,3856.483723806275,6.238241862306735,7.885981666388399,-0.0
43,1,2000,1000,1000,0.7,0.39999999999999997,0.9656117436539351,2.060112564749694,4040.5233006051517,8.419917301828868,3.8142669436768193,1.5837720332948384,0.47924654481996587,6.37733193877421,3968.8137226286776,11.353846194416578,3.764617766339681,0.2296642861291088
44,1,2000,1000,1000,0.7,0.49999999999999994,2.0646657851750603,7.408104530546902,3992.704422514669,11.641528749287772,4.049373591094975,6.803446346398597,0.1356601507710325,6.325210829512247,4099.912182980937,10.75898324585563,5.546820324820492,0.0011105597428570993
45,1,2000,1000,1000,0.7,0.6,1.3394725817210063,0.6873122300622522,3950.0104468630198,7.164778623773652,2.2812448482957666,3.3477865755599967,0.3037895131554703,2.132817487985869,4053.5534125747145,9.131583410062257,3.607418964361551,0.03579516758126127
46,1,2000,1000,1000,0.7,0.7,1.38001927295211,2.0937563710528804,3963.242333017089,9.42911650988606,2.646216340635278,1.6942689599809762,0.2897825495033953,1.3480045811406456,3984.917930784263,7.21828831117524,3.553134493720718,0.20301437989213775
47,1,2000,1000,1000,0.7,0.7999999999999999,0.3747169136143673,12.926551240247191,4002.0578612773124,12.731329548624352,8.532960156825688,0.25031212240650885,1.1630991905630916,1.729244512698194,3964.796554603441,7.536437449716881,2.4760197693663435,1.5075933999051176
48,1,2000,1000,1000,0.7,0.8999999999999999,4.849056352194005,3.412259006950511,4129.849564460507,7.923609570661465,7.373944565531827,20.842694525247282,0.00786662921781125,1.194533063212277,3844.34132122711,7.3360147275324,5.1008137375287355,8.874272431954274e-10
49,1,2000,1000,1000,0.7,0.9999999999999999,0.6243614728015086,2.021754726315728,4069.558742573997,8.439026446172027,4.171560602621652,0.9944009593962061,0.7670161709587072,3.05203846718456,4096.220579774802,9.0889588747872,6.236475183420551,0.4619481463454987
50,1,2000,1000,1000,0.7,1.0999999999999999,0.9185093347306249,3.7243082382408264,4000.546150578456,9.757764056007773,7.412543693841303,2.747343761233366,0.5093492850396977,2.0353469997341858,4037.3845049569063,8.56580240752661,3.6674173230215907,0.06624439621634606
51,1,2000,1000,1000,0.7,1.2,4.51279530334969,2.3499902548316265,3998.025044767025,9.427069395128605,3.6473100214838308,17.422331983888242,0.011028348368710063,2.95641995529411,4074.220592328105,7.983923709130871,4.595381780090609,2.7137970350561805e-08
52,1,2000,1000,1000,0.8,0.0,1.1048742737386044,1.1098373592357114,3983.3352022253093,6.693187676926486,2.4801830253749646,3.6198387940676766,0.40234875912042556,6.016167804840696,4030.087501635294,11.242889465392455,5.6962181141639,0.027152304379692887
53,1,2000,1000,1000,0.8,0.09999999999999999,0.0326625153295072,0.5717831931302025,3884.1908332609482,7.696587710238511,4.483757156117015,1.5348500267870123e-06,3.4378139852021414,1.3590825127742432,4149.181862771739,7.629490233096764,6.2793737832485705,13.387078651568519
54,1,2000,1000,1000,0.8,0.19999999999999998,0.1530881837108065,2.4305275327244544,4018.228719559623,7.825029836208188,4.274997160664675,0.0005590764948286618,1.9523089423292719,1.2377346538860938,4087.3972253739284,7.724955436108049,6.224663866463138,7.48950377712552
55,1,2000,1000,1000,0.8,0.3,0.20488621062733853,2.1404984838481225,4120.112522492041,7.9082892645414375,5.072381753316644,0.06583656298045318,1.6859951425335946,1.1387605690310159,4001.7421776597457,7.112306564131678,2.135028822420247,2.7533176123852683
56,1,2000,1000,1000,0.8,0.39999999999999997,0.7097967771959103,2.8305173244468973,3924.262882532109,9.70977042421775,4.722355332232437,0.5705329897604225,0.6767702592536304,0.856039418494065,3842.754306020871,8.432664042847046,4.985589260813025,0.8329245524650496
57,1,2000,1000,1000,0.8,0.49999999999999994,1.4325304098584946,1.2662221974225063,4013.0253212075677,6.554441594977177,2.869333784645412,2.7228886157496106,0.2727332162374576,0.09568353932138775,3816.6796691018603,7.696527818726659,6.084289970660453,0.06794136252520813
58,1,2000,1000,1000,0.8,0.6,1.0960310062686993,1.3928298199138893,4051.3520208866953,6.939511404057826,3.2086070528333916,0.7227529203147276,0.40675825224735723,1.6290882784713323,4034.344089276843,6.251412324240281,3.9194388050995776,0.664392796024158
59,1,2000,1000,1000,0.8,0.7,3.7967909363494363,2.4973549867033156,4053.2917467420407,9.694387519987982,2.723087152725841,10.647376350161164,0.022698345771347002,-0.06711219298090859,3837.169938640871,6.764530768083328,5.148253874759347,2.376338829827743e-05
60,1,2000,1000,1000,0.8,0.7999999999999999,0.056700298210793525,2.1349640890103188,3918.4732960015785,7.9886537493975425,3.959270667684074,0.00014369187409026324,2.8981920063476,2.8110086905058407,4172.554825298357,8.84674677588173,6.930965904173956,8.847911159291193
61,1,2000,1000,1000,0.8,0.8999999999999999,1.5858585169668378,3.2240625382205548,4103.248063573767,8.921243136793347,4.172707306691162,4.259931201419912,0.22912630920549784,0.8317614999636159,3964.5874077051203,7.738994089040963,2.0210820817729473,0.014223956574950543
62,1,2000,1000,1000,0.8,0.9999999999999999,0.10497294799716658,-0.40059365085957294,3847.9677686278797,7.030034224098537,5.079932277965497,0.0004890119301541374,2.3060799779685834,2.286210209471783,4113.60180148279,7.789495803724738,3.7943214143538144,7.623368167744971
63,1,2000,1000,1000,0.8,1.0999999999999999,0.5989686294838461,2.431501160402234,3920.1177186778923,7.99991472692142,5.808786546616731,0.5389687304258124,0.7971263312466265,1.211024702376298,3912.4645382578437,8.544540685938333,3.266800859815149,0.875507617079169
64,1,2000,1000,1000,0.8,1.2,3.5500663660381377,6.643901826104583,4096.274128255004,11.432133326698594,3.8420240605786713,13.508425984389616,0.029143303951189845,2.4660293025730007,4088.4038516857663,7.773043896670845,4.638668191757702,1.3594568613275563e-06
65,1,2000,1000,1000,0.9,0.0,2.522383606879991,0.617836711095967,3967.686238340717,7.490070340211013,2.251787273405644,8.054088225879681,0.0836730112455597,4.357666966432692,4022.657502776633,8.318812615741873,6.758663957151234,0.0003178505339120162
66,1,2000,1000,1000,0.9,0.09999999999999999,1.1217513640942867,0.7938094359172813,4034.814678295794,7.385297847074368,5.050576831564788,1.6371261412558582,0.3940933028936552,6.206101326302002,4146.882258029862,11.301970354907075,6.735312173115608,0.216339644655164
67,1,2000,1000,1000,0.9,0.19999999999999998,0.4695675749720414,2.451660529457481,3992.921536788871,8.25959040700205,4.400588241561749,0.4766315284240973,0.9815564329416075,0.5112033871897558,4027.951618915289,7.100327965363564,3.6670972017252184,0.969879449684549
68,1,2000,1000,1000,0.9,0.3,0.2740877269397387,2.746364427099698,4021.9840054837678,9.845449711654553,2.3386479747385147,0.03997340729077332,1.4282227031686585,0.6211426474512223,3970.176297573833,6.098223723660624,4.49872140649099,3.2394609901662936
69,1,2000,1000,1000,0.9,0.39999999999999997,0.5279752221612659,0.9132300073443502,3917.320933812959,8.484965758085721,2.75484144399231,0.23469199372929928,0.8911054878437044,0.532776534648387,3979.1817413175286,7.913414376846503,3.052184335556997,1.5645333250245501
70,1,2000,1000,1000,0.9,0.49999999999999994,0.6091718654819359,1.6209161419364024,4069.1998680584743,7.577722791829723,2.870784246323495,0.25316536860430744,0.7848262116878446,1.5270734103710735,4056.85413185634,8.005536228468621,2.299797961993398,1.497625952801821
